"","variable","R_marginal","R_conditional"
"1","Temp",0.349540963356363,0.849637462670733
"2","STemp",0.22281042319619,0.805699765376058
"3","SMoist",0.119665063431111,0.931560019445489
"4","cover_forb_",0.00888409198979077,0.423537440000925
"5","cover_grass_",0.242625986683942,0.272908492451601
"6","richness_forb_",0.162657378463141,0.590192940132876
"7","richness_grass_",0.0621323383567969,0.359305300492004
"8","rich_all_",0.165608950528666,0.634294459219671
"9","cov_all_",0.151499847595695,0.3425466353663
